winning_team,country
Scotland,Wales
Scotland,Wales
England,Wales
Scotland,Wales
Wales,Wales
Wales,Wales
Scotland,Wales
Wales,Wales
England,Wales
Scotland,Wales
Canada,United States
Wales,Wales
England,Wales
United States,United States
Scotland,Wales
Wales,Wales
Scotland,Wales
England,Wales
Scotland,Wales
Northern Ireland,Wales
England,Wales
Scotland,Wales
Wales,Wales
England,Wales
Scotland,Wales
Wales,Wales
England,Wales
Scotland,Wales
Northern Ireland,Wales
England,Wales
Scotland,Wales
Wales,Wales
England,Wales
Scotland,Wales
Northern Ireland,Wales
England,Wales
Argentina,Uruguay
Austria,Austria
Scotland,Wales
Hungary,Hungary
Hungary,Hungary
Uruguay,Argentina
Austria,Austria
England,Wales
Northern Ireland,Wales
France,Belgium
Hungary,Hungary
Austria,Austria
France,France
Wales,Wales
Austria,Hungary
Guernsey,Guernsey
Guernsey,Jersey
Netherlands,Belgium
Belgium,Belgium
Netherlands,Netherlands
Uruguay,Argentina
England,Wales
Guernsey,Jersey
Czechoslovakia,Hungary
Northern Ireland,Wales
Guernsey,Guernsey
Belgium,France
Belgium,Belgium
Belgium,Netherlands
Argentina,Uruguay
Hungary,Bohemia
Argentina,Argentina
Hungary,Hungary
Wales,Wales
Jersey,Guernsey
Guernsey,Jersey
Hungary,Hungary
Netherlands,Belgium
France,Belgium
Austria,Austria
Belgium,Netherlands
Czechoslovakia,Bohemia
Hungary,Hungary
England,Wales
Netherlands,Belgium
Guernsey,Jersey
Hungary,Hungary
Jersey,Guernsey
Northern Ireland,Wales
Belgium,France
Netherlands,Netherlands
Austria,Austria
Netherlands,Netherlands
England,Austria
Austria,Austria
England,Austria
England,Hungary
England,Bohemia
Argentina,Uruguay
Argentina,Argentina
Uruguay,Argentina
Netherlands,Netherlands
Belgium,Belgium
Hungary,Hungary
Wales,Wales
Guernsey,Guernsey
Netherlands,Belgium
Guernsey,Jersey
Germany,Germany
Germany,Hungary
Netherlands,Netherlands
Hungary,Austria
Belgium,Belgium
England,Hungary
Austria,Hungary
England,Hungary
England,Austria
Argentina,Argentina
Argentina,Uruguay
Argentina,Argentina
Austria,Hungary
Belgium,Belgium
England,Wales
Belgium,France
Jersey,Jersey
Netherlands,Netherlands
Wales,Wales
Jersey,Guernsey
Netherlands,Netherlands
Austria,Austria
Italy,Italy
Belgium,Germany
Hungary,Hungary
Argentina,Argentina
Uruguay,Argentina
Argentina,Argentina
Argentina,Argentina
Uruguay,Uruguay
Argentina,Chile
Sweden,Norway
Netherlands,Germany
Hungary,Hungary
Uruguay,Argentina
Uruguay,Argentina
Hungary,France
Hungary,Italy
Scotland,Wales
Netherlands,Belgium
Germany,Germany
Netherlands,Netherlands
Italy,France
Guernsey,Guernsey
Belgium,Belgium
Jersey,Jersey
Belgium,Belgium
Austria,Austria
Switzerland,Italy
Uruguay,Argentina
Argentina,Uruguay
Argentina,Uruguay
Austria,Germany
Argentina,Argentina
Sweden,Germany
Hungary,Hungary
France,Luxembourg
Uruguay,Uruguay
Hungary,Hungary
Hungary,Germany
Belgium,France
France,France
France,France
Belgium,Belgium
Netherlands,Belgium
England,Wales
France,Italy
Germany,Netherlands
Northern Ireland,Wales
Germany,Hungary
Guernsey,Jersey
Guernsey,Jersey
Guernsey,Guernsey
Netherlands,Netherlands
Hungary,Austria
Sweden,Norway
Hungary,Norway
Hungary,Russia
Hungary,Russia
Uruguay,Uruguay
Uruguay,Uruguay
Uruguay,Argentina
Uruguay,Argentina
Denmark,Denmark
Hungary,Hungary
Netherlands,Germany
Argentina,Uruguay
Austria,Italy
France,France
Philippines,Philippines
Belgium,Belgium
Scotland,Wales
Netherlands,Belgium
Jersey,Guernsey
Guernsey,Jersey
France,France
Belgium,Netherlands
Hungary,Austria
Italy,Italy
Sweden,Russia
Switzerland,Germany
Hungary,Hungary
Denmark,Denmark
Uruguay,Argentina
Austria,Austria
Argentina,Argentina
Argentina,Argentina
Argentina,Argentina
Norway,Russia
Argentina,Chile
Uruguay,Uruguay
Denmark,Germany
Hungary,Hungary
Sweden,Norway
Uruguay,Uruguay
Belgium,Belgium
Belgium,Belgium
Austria,Italy
Northern Ireland,Wales
France,France
Luxembourg,Luxembourg
Switzerland,France
Netherlands,Belgium
England,Wales
Italy,Italy
Guernsey,Jersey
Switzerland,Italy
Germany,Netherlands
Guernsey,Guernsey
Netherlands,Netherlands
Austria,Austria
Denmark,Denmark
Hungary,Hungary
Sweden,Norway
Russia,Norway
Uruguay,Uruguay
Argentina,Argentina
Argentina,Argentina
Brazil,Argentina
Austria,Hungary
Hungary,Austria
Italy,Italy
Austria,Hungary
Hungary,Austria
Denmark,Denmark
Sweden,Norway
Argentina,Uruguay
Argentina,Argentina
Uruguay,Uruguay
Denmark,Denmark
Austria,Austria
Hungary,Hungary
Austria,Austria
Denmark,Denmark
Hungary,Hungary
Denmark,Norway
Uruguay,Argentina
Argentina,Argentina
Chile,Argentina
Brazil,Argentina
Argentina,Argentina
Uruguay,Argentina
Uruguay,Uruguay
Uruguay,Argentina
Brazil,Uruguay
Argentina,Argentina
Argentina,Uruguay
United States,Norway
Argentina,Argentina
Austria,Hungary
Sweden,Norway
Argentina,Uruguay
Denmark,Denmark
Uruguay,Uruguay
Hungary,Austria
Hungary,Austria
Sweden,Denmark
Hungary,Hungary
Denmark,Norway
Hungary,Austria
Argentina,Uruguay
Argentina,Argentina
Uruguay,Uruguay
Sweden,Norway
Uruguay,Uruguay
Argentina,Uruguay
Argentina,Uruguay
Denmark,Denmark
Hungary,Hungary
Uruguay,Uruguay
Brazil,Uruguay
Uruguay,Uruguay
Uruguay,Uruguay
Hungary,Austria
Hungary,Hungary
Austria,Austria
Hungary,Hungary
Hungary,Austria
Denmark,Denmark
Norway,Norway
Argentina,Uruguay
Uruguay,Uruguay
Uruguay,Argentina
Argentina,Argentina
Norway,Norway
Argentina,Uruguay
Argentina,Argentina
Hungary,Austria
Denmark,Denmark
France,Belgium
Hungary,Hungary
Guernsey,Guernsey
Argentina,Paraguay
Argentina,Paraguay
Argentina,Paraguay
Argentina,Paraguay
Denmark,Denmark
Netherlands,Netherlands
Denmark,Denmark
Norway,Norway
Uruguay,Uruguay
Uruguay,Uruguay
Netherlands,Norway
Uruguay,Argentina
Norway,Norway
Austria,Austria
Argentina,Argentina
Hungary,Hungary
Uruguay,Uruguay
Italy,Italy
Scotland,Wales
France,France
Netherlands,Netherlands
Guernsey,Guernsey
Alderney,Jersey
Hungary,Austria
Netherlands,Italy
Denmark,Norway
Sweden,Norway
Uruguay,Uruguay
Uruguay,Argentina
Argentina,Argentina
Brazil,Chile
Argentina,Chile
Uruguay,Chile
Argentina,Chile
Argentina,Chile
Austria,Austria
Uruguay,Chile
Germany,Germany
Austria,Hungary
Italy,France
Belgium,Belgium
Italy,Italy
England,Wales
Sweden,Austria
Guernsey,Guernsey
Paraguay,Paraguay
Jersey,Jersey
Wales,Wales
Argentina,Paraguay
Austria,Austria
Jersey,Guernsey
Italy,Belgium
Austria,Germany
Italy,Netherlands
Netherlands,Belgium
England,Belgium
Norway,Norway
Hungary,Hungary
Netherlands,Denmark
Norway,Norway
Scotland,Canada
Sweden,Estonia
Finland,Estonia
Costa Rica,Guatemala
Costa Rica,Guatemala
Argentina,Argentina
Denmark,Denmark
Paraguay,Argentina
Brazil,Argentina
Argentina,Argentina
Uruguay,Argentina
Czechoslovakia,Czechoslovakia
Argentina,Argentina
Uruguay,Uruguay
Hungary,Hungary
Sweden,Czechoslovakia
Netherlands,France
Hungary,Hungary
France,France
Austria,Italy
Wales,Wales
Czechoslovakia,Italy
Brittany,France
Belgium,Belgium
Switzerland,Germany
Guernsey,Guernsey
Denmark,Belgium
Netherlands,Netherlands
Guernsey,Guernsey
Germany,Austria
Guernsey,Jersey
Spain,France
Austria,Hungary
Belgium,Netherlands
Italy,Italy
Norway,Norway
Romania,Yugoslavia
Austria,Austria
Czechoslovakia,Denmark
Norway,Norway
Switzerland,Hungary
Yugoslavia,Yugoslavia
Hungary,Germany
Poland,Romania
Denmark,Norway
Hungary,Austria
Estonia,Latvia
Sweden,Norway
Sweden,Denmark
Poland,Yugoslavia
Argentina,Argentina
Uruguay,Uruguay
Austria,Hungary
Switzerland,Italy
Uruguay,Uruguay
Uruguay,Argentina
Mexico,Guatemala
Italy,Italy
Guatemala,Guatemala
Mexico,Guatemala
Belgium,Belgium
Brittany,Luxembourg
Belgium,Belgium
Hungary,Italy
England,Wales
Netherlands,Netherlands
Guernsey,Guernsey
Guernsey,Jersey
Northern Ireland,Wales
Italy,Austria
Switzerland,France
Guernsey,Guernsey
Belgium,Netherlands
Austria,Austria
Czechoslovakia,Czechoslovakia
England,France
Netherlands,Germany
Paraguay,Argentina
Argentina,Argentina
Czechoslovakia,Czechoslovakia
Australia,Australia
Yugoslavia,Romania
New Zealand,Australia
Denmark,Denmark
Norway,Norway
Switzerland,Norway
Uruguay,Argentina
Estonia,Lithuania
New Zealand,Australia
Czechoslovakia,Romania
Uruguay,Argentina
Argentina,Uruguay
Latvia,Estonia
Finland,Germany
Austria,Austria
Hungary,Hungary
Sweden,Norway
Russia,Estonia
Hungary,Hungary
Poland,Estonia
Denmark,Denmark
Estonia,Estonia
Argentina,Uruguay
Romania,Turkey
Yugoslavia,Czechoslovakia
Norway,France
Hungary,Hungary
Argentina,Uruguay
England,Belgium
