winning_team,country
Greece,
Jersey,
Mexico,Mexico
Malaysia,Malaysia
Belarus,
Tanzania,Kenya
Papua New Guinea,Samoa
,Thailand
Zimbabwe,
DR Congo,Equatorial Guinea
Wales,Wales
,Venezuela
,
Uruguay,
,Venezuela
,
Jersey,
Wales,Wales
DR Congo,Equatorial Guinea
Mexico,Mexico
Argentina,Brazil
Czechoslovakia,
Mozambique,Botswana
Hungary,
,Venezuela
,
Jersey,
Wales,Wales
DR Congo,Equatorial Guinea
Mexico,Mexico
Argentina,Uruguay
United Arab Emirates,United Arab Emirates
Indonesia,North Korea
Northern Ireland,
Argentina,Brazil
Czechoslovakia,
Mozambique,Botswana
Hungary,
Republic of Ireland,Armenia
England,England
Suriname,Barbados
,Ivory Coast
Indonesia,Indonesia
South Korea,Qatar
Jamaica,
Georgia,Georgia
,
Suriname,Suriname
Honduras,Guatemala
Ukraine,Ukraine
Peru,
South Korea,Qatar
Peru,
Suriname,Suriname
Suriname,Barbados
Georgia,Georgia
Indonesia,Indonesia
South Korea,South Korea
Denmark,Mexico
Turkey,
,South Africa
South Korea,Qatar
Peru,
Suriname,Suriname
Suriname,Barbados
Georgia,Georgia
Indonesia,Indonesia
Canada,United States
,Burkina Faso
,South Korea
French Guiana,Aruba
South Korea,South Korea
Denmark,Mexico
Turkey,
,South Africa
Belgium,Luxembourg
Hungary,Mexico
Madagascar,Réunion
,Bahrain
Peru,
England,England
Yugoslavia,Yugoslavia
Tunisia,Senegal
Poland,Spain
Colombia,United States
Jamaica,Haiti
Colombia,United States
England,England
Hungary,Mexico
Poland,Spain
Hungary,Hungary
,German DR
Denmark,
Jordan,Oman
Germany,Sweden
Vietnam,Kuwait
Colombia,United States
England,England
Hungary,Mexico
Poland,Spain
,Grenada
,
,
Serbia,
,Qatar
Malawi,
Hungary,Hungary
,German DR
Denmark,
Jordan,Oman
Germany,Sweden
Vietnam,Kuwait
