winning_team,country
Panama,
Cameroon,Austria
Greece,Greece
Seychelles,
Portugal,Portugal
,
,
Switzerland,
Sudan,
Ecuador,Germany
Ecuador,Germany
Switzerland,
Panama,
Greece,Greece
,
Morocco,
Burkina Faso,Niger
Sudan,Sudan
England,England
,Qatar
Ecuador,Germany
Switzerland,
Panama,
Greece,Greece
,
South Africa,South Africa
Saint Vincent and the Grenadines,Grenada
Georgia,Malta
Argentina,Paraguay
Sweden,Sweden
,
Morocco,
Burkina Faso,Niger
Sudan,Sudan
England,England
,Qatar
South Korea,Malaysia
Guinea,
,Solomon Islands
,Japan
,Philippines
Sudan,Sudan
Afghanistan,Tajikistan
China PR,Philippines
,
Tonga,
Guyana,Puerto Rico
Iran,Kuwait
Guinea,
South Korea,Malaysia
,Solomon Islands
Afghanistan,Tajikistan
,Japan
Senegal,
Czechoslovakia,Bulgaria
France,Morocco
,
,
Guinea,
South Korea,Malaysia
,Solomon Islands
Afghanistan,Tajikistan
,Japan
,
Peru,Paraguay
Haiti,Martinique
,Guyana
,French Polynesia
Senegal,
Czechoslovakia,Bulgaria
France,Morocco
,
,
United Arab Emirates,United Arab Emirates
Solomon Islands,New Caledonia
Nigeria,Niger
Mauritania,
,Scotland
Antigua and Barbuda,
Russia,Austria
Venezuela,Uruguay
,
Isle of Wight,
Estonia,
Serbia,Azerbaijan
Norway,Estonia
Venezuela,Uruguay
Russia,Austria
Nigeria,Niger
Isle of Wight,
Tanzania,
Thailand,
Portugal,Kuwait
,Germany
Japan,South Korea
Slovenia,Georgia
Venezuela,Uruguay
Russia,Austria
Nigeria,Niger
Isle of Wight,
,
Russia,
El Salvador,Honduras
Northern Ireland,Northern Ireland
,Thailand
,
Tanzania,
Thailand,
Portugal,Kuwait
,Germany
Japan,South Korea
Slovenia,Georgia
