winning_team,country
,Gabon
Ukraine,Switzerland
El Salvador,El Salvador
Poland,German DR
,New Zealand
,Spain
,Japan
,Spain
Myanmar,Myanmar
,Republic of Ireland
,Spain
,Spain
Ukraine,Switzerland
Kuwait,Kuwait
Algeria,Switzerland
,Scotland
Thailand,Thailand
,El Salvador
Burkina Faso,Niger
Bahrain,China PR
,Spain
,Spain
Ukraine,Switzerland
,Finland
New Zealand,Myanmar
,Madagascar
Botswana,Swaziland
Isle of Wight,Sweden
Germany,Portugal
Ecuador,Ecuador
Kuwait,Kuwait
Algeria,Switzerland
,Scotland
Thailand,Thailand
,El Salvador
Burkina Faso,Niger
Bahrain,China PR
