winning_team,country
,
Argentina,Croatia
,Kenya
,Canada
South Korea,South Korea
Vietnam,Vietnam
,
Hong Kong,Hong Kong
,
,
Jamaica,Trinidad and Tobago
Hungary,Albania
Myanmar,Myanmar
Latvia,
Myanmar,Myanmar
Argentina,Croatia
Hungary,Albania
,
South Korea,South Korea
,
,Wales
Argentina,Argentina
Wales,Wales
Lesotho,South Africa
Myanmar,Myanmar
Argentina,Croatia
Hungary,Albania
,
South Korea,South Korea
,
New Caledonia,Solomon Islands
Croatia,
Nigeria,Nigeria
,Slovenia
,Wales
Argentina,Argentina
Wales,Wales
Lesotho,South Africa
,Kuwait
Colombia,France
El Salvador,
Saudi Arabia,
Singapore,Singapore
South Korea,Singapore
,Germany
South Africa,
Congo,Congo
,Soviet Union
Netherlands,South Africa
Martinique,Suriname
,
Honduras,
South Korea,Singapore
,Soviet Union
Martinique,Suriname
Congo,Congo
,Kuwait
,
Suriname,Suriname
China PR,
Central African Republic,Morocco
,Malta
South Korea,Singapore
,Soviet Union
Martinique,Suriname
Congo,Congo
,Kuwait
Mexico,Mexico
,Slovenia
Belarus,Kosovo
Jordan,
Guinea,
,
Suriname,Suriname
China PR,
Central African Republic,Morocco
,Malta
,Argentina
Scotland,Hungary
Solomon Islands,
Romania,
Malaysia,
,England
,Austria
Australia,Australia
Hungary,Hungary
Zambia,Ethiopia
Madagascar,Mauritius
Scotland,United States
Madagascar,Mauritius
Solomon Islands,
,England
,Austria
Scotland,United States
Zambia,Ethiopia
Saudi Arabia,Qatar
Grenada,Grenada
,Austria
Bosnia and Herzegovina,Estonia
Madagascar,Mauritius
Solomon Islands,
,England
,Austria
Scotland,United States
Zambia,Ethiopia
Kuwait,Kuwait
,Malawi
Bulgaria,
Vietnam Republic,Malaysia
Saudi Arabia,Qatar
Grenada,Grenada
,Austria
Bosnia and Herzegovina,Estonia
